PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27876245","Perioperative medicine and Taiwan National Health Insurance Research Database","Chang CC, Liao CC, Chen TL.","Acta Anaesthesiol Taiwan. 2016 Sep;54(3):93-96. doi: 10.1016/j.aat.2016.08.002. Epub 2016 Nov 18.","Chang CC","Acta Anaesthesiol Taiwan","2016","2016/11/24","","","10.1016/j.aat.2016.08.002"
"30764553","Perceived Impact of Taiwan's National Health Insurance Allocation Strategy: Health Professionals' Perspective","Owili PO, Muga MA, Yang YT, Hsu YE.","Int J Environ Res Public Health. 2019 Feb 5;16(3):467. doi: 10.3390/ijerph16030467.","Owili PO","Int J Environ Res Public Health","2019","2019/02/16","PMC6388230","","10.3390/ijerph16030467"
"30211960","Is Taiwan's National Health Insurance a perfect system? Problems related to health care utilization of the aboriginal population in rural townships","Lee YT, Lee YH, Kaplan WA.","Int J Health Plann Manage. 2019 Jan;34(1):e6-e10. doi: 10.1002/hpm.2653. Epub 2018 Sep 13.","Lee YT","Int J Health Plann Manage","2019","2018/09/14","","","10.1002/hpm.2653"
"30727703","Data resource profile: the National Health Insurance Research Database (NHIRD)","Lin LY, Warren-Gash C, Smeeth L, Chen PC.","Epidemiol Health. 2018;40:e2018062. doi: 10.4178/epih.e2018062. Epub 2018 Dec 27.","Lin LY","Epidemiol Health","2018","2019/02/08","PMC6367203","","10.4178/epih.e2018062"
"27723118","Growing concerns and controversies to Taiwan's National Health Insurance-what are the lessons from mainland China, South Korea and Singapore?","Lee YH, Ang TFA, Chiang TC, Kaplan WA.","Int J Health Plann Manage. 2018 Jan;33(1):e357-e366. doi: 10.1002/hpm.2387. Epub 2016 Oct 10.","Lee YH","Int J Health Plann Manage","2018","2016/10/11","","","10.1002/hpm.2387"
"30240449","Disease and economic burden for rare diseases in Taiwan: A longitudinal study using Taiwan's National Health Insurance Research Database","Hsu JC, Wu HC, Feng WC, Chou CH, Lai EC, Lu CY.","PLoS One. 2018 Sep 21;13(9):e0204206. doi: 10.1371/journal.pone.0204206. eCollection 2018.","Hsu JC","PLoS One","2018","2018/09/22","PMC6150502","","10.1371/journal.pone.0204206"
"30516295","Investigating unmet health care needs under the National Health Insurance program in Taiwan: A latent class analysis","Tian WH.","Int J Health Plann Manage. 2019 Apr;34(2):572-582. doi: 10.1002/hpm.2717. Epub 2018 Dec 5.","Tian WH","Int J Health Plann Manage","2019","2018/12/06","","","10.1002/hpm.2717"
"30589852","Utilization patterns of traditional medicine in Taiwan and South Korea by using national health insurance data in 2011","Huang CW, Hwang IH, Lee YS, Hwang SJ, Ko SG, Chen FP, Jang BH.","PLoS One. 2018 Dec 27;13(12):e0208569. doi: 10.1371/journal.pone.0208569. eCollection 2018.","Huang CW","PLoS One","2018","2018/12/28","PMC6307865","","10.1371/journal.pone.0208569"
"28815803","Validity of cancer diagnosis in the National Health Insurance database compared with the linked National Cancer Registry in Taiwan","Kao WH, Hong JH, See LC, Yu HP, Hsu JT, Chou IJ, Chou WC, Chiou MJ, Wang CC, Kuo CF.","Pharmacoepidemiol Drug Saf. 2018 Oct;27(10):1060-1066. doi: 10.1002/pds.4267. Epub 2017 Aug 16.","Kao WH","Pharmacoepidemiol Drug Saf","2018","2017/08/18","","","10.1002/pds.4267"
"29175374","Social capital and preventive care use among the elderly under Taiwan's National Health Insurance","Peng YI, Lin TF.","Arch Gerontol Geriatr. 2018 Mar-Apr;75:28-36. doi: 10.1016/j.archger.2017.11.002. Epub 2017 Nov 15.","Peng YI","Arch Gerontol Geriatr","2018","2017/11/28","","","10.1016/j.archger.2017.11.002"
