,0
0,"""hepatitis"
1,&amp;
2,'Kidney Disease
3,'club'
4,'fractures'
5,-density lipoprotein cholesterol
6,-fracture pneumonia
7,000 000 acupuncture
8,000 000 enrolees
9,"000,000 beneficiaries"
10,"000,000 insured"
11,100 infections
12,131I
13,13N-ammonia
14,179cDDD
15,17beta-estradiol
16,180cDDD
17,19A
18,2-APB
19,2019 International Parkinson and Movement Disorder Society
20,2019 Novel Coronavirus Disease
21,2019 novel coronavirus disease
22,3-hydroxy-3-methyl glutaryl coenzyme A (HMG-CoA) reductase
23,3322 [3082-3583] vs 2336 [2154-2535]
24,4i
25,5-ARIs
26,5-FDHU
27,5-FU
28,"5-Fluoro-5,6-Dihydrouracil"
29,5-Fluorouracil
30,"5-fluoro-5,6-dihydrouracil"
31,5-fluorouracil
32,50s
33,6-OHDA
34,6-hydroxydopamine
35,60-cDDD
36,A 14
37,A 20
38,A Diabetes
39,A H1N1
40,A H3N2
41,A beta
42,A cirrhosis
43,A failure
44,A. baumannii
45,A. flavus
46,AA
47,AAPC
48,AAU
49,AAs
50,AB
51,ABBREVIATIONS
52,ABC
53,ACB
54,ACDF
55,ACE
56,ACEI
57,ACEIs
58,ACEIs/ARBs
59,ACHD
60,ACOS
61,ACR
62,AD
63,ADA
64,ADAs
65,ADF
66,ADHD
67,ADP
68,ADPKD
69,ADT
70,AE-COPD
71,AEs
72,AF
73,AF-free
74,AFL
75,AFP
76,AHA
77,AHR
78,AHRR
79,AHRs of depression
80,AID
81,AIDS
82,AKD
83,AKI
84,AKT
85,AKT1
86,ALDH2
87,ALS
88,AM
89,AMD
90,AMG
91,AMI
92,AML
93,AN
94,ANGPTL4
95,AOBD
96,APAP
97,APC
98,APCs
99,APD
100,APN
101,APOBEC3H
102,APOE
103,APs
104,AR
105,ARD
106,ARDS
107,ARDs
108,ARF
109,ARS
110,ART failure
111,AS
112,ASA
113,ASC
114,ASCVD
115,ASD
116,ASDs
117,ASP
118,AST
119,AT
120,ATB
121,ATD
122,ATOR
123,ATX
124,AV fistula
125,AV fistulae occlusion
126,AVF failure
127,AVG failure
128,AZA
129,Abnormal glucose metabolism
130,Academia Sinica Stroke
131,Academia Sinica Stroke Biosignature
132,Acarbose
133,Acetaminophen
134,Acetylcholinesterase
135,Ach
136,Acinetobacter baumannii
137,Acinetobacter calcoaceticus
138,Acorus gramineus
139,Acquiring Acute Myocarditis
140,Acquiring Kawasaki Disease
141,Active Tuberculosis
142,Acupuncture to Reduce Post-Stroke Depression
143,Acute Appendicitis
144,Acute Cholecystitis
145,Acute Coronary Syndrome
146,Acute Kidney Injury
147,Acute Leukemia
148,Acute Lymphoblastic Leukemia
149,Acute Myeloid Leukemia
150,Acute Myocardial Infarction
151,Acute Myocarditis
152,Acute Pancreatitis
153,Acute Pyelonephritis
154,Acute Renal Failure
155,Acute Respiratory Failure
156,Acute kidney injury
157,Acute lymphoblastic leukemia
158,Acute myeloid leukemia
159,Acute rhinosinusitis
160,Adenocarcinoma
161,Adenovirus Infection
162,Adjuvant Acid
163,Adrenal Gland Dysfunction
164,Advanced Chronic Kidney Disease
165,Advanced Diabetes Complications
166,Advanced Hepatocellular Carcinoma
167,Advanced Lung Adenocarcinoma
168,Advanced Lung Cancer
169,Ae. aegypti
170,Aedes aegypti
171,Aedes albopictus
172,Afatinib
173,Afib
174,Aggrenox
175,Aggressiveness
176,Akt
177,Akt1
178,Akt1/2
179,Albuminuria
180,Alcohol
